1,3,5,2,1,3,0;;;;;;
4,3,3,4,2,2,0;;;https://archive.ics.uci.edu/ml/datasets/Car+Evaluation;;;
1,1,5,4,1,3,2;;;;;;
1,2,4,6,3,1,0;;;;;;
4,4,2,2,1,3,0;;;"vhigh = 4
high =3
med = 2
low = 1";;"5more = 5
more = 6";
3,1,5,6,2,1,0;;;;;;
4,4,5,4,3,1,0;;;;;;
2,1,2,2,1,2,0;;;;;;
2,3,2,6,3,2,1;;;;;;
3,2,5,2,3,3,0;;;;;;
3,3,5,4,3,2,1;;;"small = 1
med = 2
big = 3";;"low = 1
med = 2 
high = 3";
3,4,3,2,3,3,0;;;;;;
1,1,3,4,3,2,2;;;;;;
3,2,4,2,3,2,0;;;;;;
3,1,4,4,3,3,1;;;;;;
2,1,4,2,3,1,0;;;"unacc = 0
acc = 1
good = 2
vgood = 3";;;
4,3,3,6,2,3,0;;;;;;
2,4,3,4,3,1,0;;;;;;
3,4,3,2,3,1,0;;;;;;
1,4,4,2,2,3,0;;;;;;
1,4,3,4,1,2,0;;;;;;
2,4,3,2,2,1,0;;;;;;
1,2,4,6,3,3,3;;;;;;
3,3,2,4,1,3,1;;;;;;
3,3,5,6,1,1,0;;;;;;
3,4,4,2,2,3,0;;;;;;
3,4,4,2,1,3,0;;;;;;
3,2,4,4,3,1,0;;;;;;
3,3,3,2,3,3,0;;;;;;
2,2,3,4,1,3,1;;;;;;
3,3,4,4,3,3,1;;;;;;
2,3,5,4,2,1,0;;;;;;
2,3,3,2,1,1,0;;;;;;
4,4,3,4,1,1,0;;;;;;
3,4,4,4,1,1,0;;;;;;
4,2,4,4,3,2,1;;;;;;
3,4,5,6,2,1,0;;;;;;
3,2,2,6,3,2,1;;;;;;
3,4,3,2,1,3,0;;;;;;
4,1,3,2,1,3,0;;;;;;
1,4,4,4,2,3,1;;;;;;
3,1,5,6,3,1,0;;;;;;
3,3,5,2,3,1,0;;;;;;
1,3,5,2,1,1,0;;;;;;
2,2,2,2,3,3,0;;;;;;
4,3,3,4,3,1,0;;;;;;
4,4,5,2,2,1,0;;;;;;
4,2,5,2,1,1,0;;;;;;
3,2,3,2,3,3,0;;;;;;
2,4,3,4,3,3,1;;;;;;
4,2,2,6,3,2,1;;;;;;
3,3,5,4,1,3,1;;;;;;
3,2,5,4,2,3,1;;;;;;
1,1,2,2,3,2,0;;;;;;
3,4,5,6,3,2,0;;;;;;
1,1,3,4,1,2,1;;;;;;
1,4,4,4,3,1,0;;;;;;
3,2,3,4,2,2,0;;;;;;
1,3,2,4,1,3,1;;;;;;
2,4,5,2,3,3,0;;;;;;
1,3,2,2,1,1,0;;;;;;
2,4,3,4,2,2,0;;;;;;
1,4,2,6,2,1,0;;;;;;
4,4,3,4,1,2,0;;;;;;
3,3,2,2,2,3,0;;;;;;
4,4,2,4,2,3,0;;;;;;
2,3,4,2,2,3,0;;;;;;
2,4,4,6,3,1,0;;;;;;
1,1,3,6,1,2,1;;;;;;
3,1,2,2,2,3,0;;;;;;
3,4,5,2,1,3,0;;;;;;
4,1,4,6,2,2,1;;;;;;
1,2,2,4,2,3,2;;;;;;
1,1,4,6,3,3,3;;;;;;
2,4,2,2,1,1,0;;;;;;
3,2,5,2,3,1,0;;;;;;
2,4,3,4,2,3,1;;;;;;
1,3,2,2,1,3,0;;;;;;
3,2,3,6,2,3,1;;;;;;
2,4,5,2,3,2,0;;;;;;
4,3,5,6,3,2,0;;;;;;
3,1,4,6,1,2,0;;;;;;
1,2,3,6,1,2,1;;;;;;
2,3,3,6,3,2,1;;;;;;
1,4,5,4,3,1,0;;;;;;
2,2,2,2,1,1,0;;;;;;
1,4,2,2,1,2,0;;;;;;
1,4,3,6,2,2,1;;;;;;
4,1,2,6,1,1,0;;;;;;
2,4,2,6,1,1,0;;;;;;
1,3,4,4,3,2,1;;;;;;
4,1,3,4,1,1,0;;;;;;
3,1,3,2,2,3,0;;;;;;
3,1,2,4,2,2,0;;;;;;
4,4,5,4,2,1,0;;;;;;
3,1,4,2,2,2,0;;;;;;
2,2,3,4,1,2,1;;;;;;
2,1,2,2,1,3,0;;;;;;
1,1,4,4,1,2,1;;;;;;
3,2,4,2,2,3,0;;;;;;
3,3,2,2,1,2,0;;;;;;
4,3,5,6,1,1,0;;;;;;
3,4,5,2,2,1,0;;;;;;
4,3,2,2,2,3,0;;;;;;
3,1,5,2,3,2,0;;;;;;
3,3,3,6,1,3,1;;;;;;
3,4,5,2,3,2,0;;;;;;
4,3,4,2,3,2,0;;;;;;
2,1,5,6,3,2,2;;;;;;
2,4,3,2,1,1,0;;;;;;
4,1,2,4,2,3,1;;;;;;
2,1,4,4,3,3,3;;;;;;
3,3,3,2,3,2,0;;;;;;
3,3,3,4,3,3,1;;;;;;
4,2,3,2,3,3,0;;;;;;
1,4,4,2,1,1,0;;;;;;
4,4,2,4,3,2,0;;;;;;
4,3,2,6,3,3,0;;;;;;
4,1,2,6,2,3,1;;;;;;
3,1,5,6,2,2,1;;;;;;
1,4,3,2,2,3,0;;;;;;
4,4,4,4,3,1,0;;;;;;
4,3,5,4,2,1,0;;;;;;
3,4,5,4,3,2,0;;;;;;
2,2,5,6,2,1,0;;;;;;
1,3,5,6,1,2,1;;;;;;
3,1,3,2,1,1,0;;;;;;
2,3,4,4,3,2,1;;;;;;
2,3,3,6,1,2,0;;;;;;
3,4,2,2,3,3,0;;;;;;
2,2,5,6,1,2,1;;;;;;
2,4,2,2,2,3,0;;;;;;
1,1,2,2,3,3,0;;;;;;
1,4,4,6,3,1,0;;;;;;
2,3,4,4,3,3,1;;;;;;
4,3,4,2,1,2,0;;;;;;
1,4,2,4,2,2,0;;;;;;
3,2,4,2,1,3,0;;;;;;
3,4,5,4,1,3,0;;;;;;
2,4,5,6,2,1,0;;;;;;
1,1,2,4,2,1,0;;;;;;
3,3,2,4,1,1,0;;;;;;
3,3,3,4,1,1,0;;;;;;
2,4,3,2,3,2,0;;;;;;
3,3,2,6,1,3,0;;;;;;
4,1,4,2,2,1,0;;;;;;
1,3,2,6,3,2,1;;;;;;
4,3,2,2,2,2,0;;;;;;
3,3,2,2,1,3,0;;;;;;
4,1,4,4,2,3,1;;;;;;
2,4,2,6,2,2,0;;;;;;
3,1,3,6,3,2,1;;;;;;
4,3,4,2,2,3,0;;;;;;
2,1,5,2,1,1,0;;;;;;
2,4,3,6,2,2,1;;;;;;
1,3,5,4,2,2,1;;;;;;
3,3,2,6,2,3,1;;;;;;
2,1,5,6,3,1,0;;;;;;
1,4,5,2,3,1,0;;;;;;
4,4,4,4,2,2,0;;;;;;
2,4,5,4,1,1,0;;;;;;
2,4,5,6,3,3,1;;;;;;
1,4,3,6,1,3,1;;;;;;
1,1,3,6,2,2,2;;;;;;
1,1,4,4,3,1,0;;;;;;
4,1,3,6,1,2,0;;;;;;
4,4,5,2,1,1,0;;;;;;
3,4,5,4,2,3,0;;;;;;
1,2,4,2,3,2,0;;;;;;
2,3,5,2,3,3,0;;;;;;
3,3,5,2,1,2,0;;;;;;
2,1,3,4,3,3,3;;;;;;
1,1,4,2,1,3,0;;;;;;
3,4,5,6,1,1,0;;;;;;
3,2,2,4,3,2,1;;;;;;
4,2,4,2,3,2,0;;;;;;
4,2,2,6,3,1,0;;;;;;
1,4,2,2,3,1,0;;;;;;
2,2,4,6,2,3,3;;;;;;
3,2,2,4,2,2,0;;;;;;
1,2,2,6,3,1,0;;;;;;
4,4,4,2,3,1,0;;;;;;
3,3,4,6,3,1,0;;;;;;
2,4,2,6,1,3,0;;;;;;
3,3,3,4,1,3,1;;;;;;
2,3,4,6,2,3,1;;;;;;
1,3,5,4,3,3,3;;;;;;
3,4,2,2,1,2,0;;;;;;
2,4,4,2,3,2,0;;;;;;
4,2,4,2,2,3,0;;;;;;
4,3,3,2,3,2,0;;;;;;
3,4,2,2,3,1,0;;;;;;
4,3,3,6,3,2,0;;;;;;
3,1,2,4,3,2,1;;;;;;
3,2,2,2,2,2,0;;;;;;
3,1,4,4,3,2,1;;;;;;
1,2,4,4,2,1,0;;;;;;
4,3,5,6,1,3,0;;;;;;
3,4,5,6,3,3,0;;;;;;
1,2,5,2,1,1,0;;;;;;
4,4,3,4,3,2,0;;;;;;
3,2,2,6,2,2,0;;;;;;
1,3,4,2,2,2,0;;;;;;
1,4,4,6,1,2,0;;;;;;
2,4,5,2,1,2,0;;;;;;
1,2,2,6,2,3,2;;;;;;
1,2,2,2,1,1,0;;;;;;
1,1,4,2,2,1,0;;;;;;
4,3,3,4,1,1,0;;;;;;
1,3,2,2,2,1,0;;;;;;
4,1,2,6,2,2,0;;;;;;
2,1,5,4,2,1,0;;;;;;
1,3,4,4,3,3,3;;;;;;
1,3,5,6,1,1,0;;;;;;
2,2,5,4,1,1,0;;;;;;
1,4,3,4,2,3,1;;;;;;
2,2,3,2,1,2,0;;;;;;
4,1,3,4,3,3,1;;;;;;
2,3,3,2,1,3,0;;;;;;
2,3,2,2,1,3,0;;;;;;
3,1,5,6,3,2,1;;;;;;
4,1,3,4,1,3,1;;;;;;
3,4,3,4,2,1,0;;;;;;
3,3,2,2,1,1,0;;;;;;
2,4,5,6,3,2,1;;;;;;
3,2,5,2,1,1,0;;;;;;
2,2,5,4,3,2,1;;;;;;
1,4,2,6,2,2,0;;;;;;
2,4,3,2,2,2,0;;;;;;
2,1,3,2,2,1,0;;;;;;
3,2,3,6,1,1,0;;;;;;
1,3,2,4,2,1,0;;;;;;
1,1,5,6,1,1,0;;;;;;
1,2,4,4,1,1,0;;;;;;
3,3,2,2,3,1,0;;;;;;
4,4,3,6,1,1,0;;;;;;
3,4,2,4,3,2,0;;;;;;
3,4,5,6,3,1,0;;;;;;
2,3,3,4,1,2,0;;;;;;
4,4,3,2,2,3,0;;;;;;
1,1,3,6,1,3,2;;;;;;
3,3,4,6,2,1,0;;;;;;
4,3,5,6,1,2,0;;;;;;
3,2,4,4,2,3,1;;;;;;
4,2,4,2,1,2,0;;;;;;
2,4,2,2,2,2,0;;;;;;
2,1,4,2,3,3,0;;;;;;
1,1,5,2,2,3,0;;;;;;
3,3,3,6,3,1,0;;;;;;
1,4,3,2,2,2,0;;;;;;
2,2,4,6,1,3,1;;;;;;
3,3,3,2,1,1,0;;;;;;
4,4,4,2,1,1,0;;;;;;
3,1,4,6,3,1,0;;;;;;
3,3,4,6,1,1,0;;;;;;
4,4,5,4,2,2,0;;;;;;
4,4,2,6,3,3,0;;;;;;
2,1,4,4,2,3,3;;;;;;
4,2,3,2,1,3,0;;;;;;
3,3,4,2,1,1,0;;;;;;
1,4,2,4,3,2,1;;;;;;
2,2,3,2,2,1,0;;;;;;
2,2,3,6,2,1,0;;;;;;
4,2,3,4,1,3,1;;;;;;
1,1,5,4,2,2,2;;;;;;
4,2,4,4,3,1,0;;;;;;
2,1,5,2,2,2,0;;;;;;
1,4,3,6,1,2,0;;;;;;
4,4,5,2,3,3,0;;;;;;
4,2,5,2,2,1,0;;;;;;
3,3,2,6,3,2,1;;;;;;
2,1,4,2,1,2,0;;;;;;
3,3,4,6,2,2,1;;;;;;
3,3,2,4,2,3,1;;;;;;
3,4,2,2,2,1,0;;;;;;
4,3,5,4,3,1,0;;;;;;
1,2,4,4,1,2,1;;;;;;
4,1,3,2,1,2,0;;;;;;
2,3,2,6,2,3,1;;;;;;
1,1,5,2,1,3,0;;;;;;
2,1,3,4,3,2,2;;;;;;
1,3,3,4,3,3,3;;;;;;
4,3,4,6,2,2,0;;;;;;
3,2,3,4,3,2,1;;;;;;
1,2,3,6,1,1,0;;;;;;
2,2,4,2,3,3,0;;;;;;
3,4,2,4,3,3,0;;;;;;
2,2,2,2,2,3,0;;;;;;
2,4,2,6,3,1,0;;;;;;
4,1,3,6,1,1,0;;;;;;
2,3,3,2,2,1,0;;;;;;
2,4,4,6,1,1,0;;;;;;
3,1,4,6,2,3,1;;;;;;
4,1,2,2,3,3,0;;;;;;
1,2,5,2,3,3,0;;;;;;
1,3,3,4,2,2,1;;;;;;
3,2,4,2,1,1,0;;;;;;
4,3,5,4,1,3,0;;;;;;
2,3,2,6,1,1,0;;;;;;
3,1,4,6,2,1,0;;;;;;
4,3,3,2,2,2,0;;;;;;
4,3,2,4,2,3,0;;;;;;
4,2,3,6,1,3,1;;;;;;
4,1,5,6,3,2,1;;;;;;
1,3,3,2,2,1,0;;;;;;
4,4,3,6,1,3,0;;;;;;
1,1,2,6,3,2,2;;;;;;
4,3,3,2,3,1,0;;;;;;
3,2,4,2,3,3,0;;;;;;
2,3,4,2,2,1,0;;;;;;
2,1,3,6,1,1,0;;;;;;
2,2,4,4,3,1,0;;;;;;
2,2,5,6,1,1,0;;;;;;
3,4,2,2,1,1,0;;;;;;
3,4,2,4,2,2,0;;;;;;
1,3,5,2,2,1,0;;;;;;
3,4,3,6,1,2,0;;;;;;
1,2,4,6,1,2,1;;;;;;
1,1,2,2,1,2,0;;;;;;
3,4,2,4,1,2,0;;;;;;
4,1,2,4,1,3,1;;;;;;
2,4,4,4,3,3,1;;;;;;
3,4,4,4,1,2,0;;;;;;
4,1,5,4,3,1,0;;;;;;
3,2,4,4,2,1,0;;;;;;
4,1,5,6,1,3,1;;;;;;
2,3,4,6,1,2,0;;;;;;
2,3,4,6,1,3,1;;;;;;
1,3,5,2,1,2,0;;;;;;
4,1,3,4,3,2,1;;;;;;
3,1,2,6,2,3,1;;;;;;
1,4,2,2,2,2,0;;;;;;
3,2,2,6,3,3,1;;;;;;
4,4,3,4,1,3,0;;;;;;
1,3,5,6,3,1,0;;;;;;
4,4,4,4,1,3,0;;;;;;
4,1,4,2,1,3,0;;;;;;
2,4,5,6,1,3,1;;;;;;
3,2,5,4,2,2,1;;;;;;
1,2,5,2,2,2,0;;;;;;
4,1,4,6,1,3,1;;;;;;
3,3,2,4,2,1,0;;;;;;
2,1,2,4,3,1,0;;;;;;
3,3,2,2,2,2,0;;;;;;
3,2,3,6,1,3,1;;;;;;
4,1,4,4,1,3,1;;;;;;
1,4,5,4,3,3,1;;;;;;
2,4,5,2,3,1,0;;;;;;
3,1,5,6,1,2,0;;;;;;
3,1,3,6,1,3,1;;;;;;
1,2,2,2,1,2,0;;;;;;
3,1,4,2,1,3,0;;;;;;
3,3,5,2,1,1,0;;;;;;
2,1,5,2,3,2,0;;;;;;
4,4,3,4,2,3,0;;;;;;
3,2,3,4,2,1,0;;;;;;
4,3,5,4,3,2,0;;;;;;
3,4,3,4,1,3,0;;;;;;
3,3,3,2,1,3,0;;;;;;
2,2,2,6,2,3,1;;;;;;
2,2,4,4,1,2,1;;;;;;
2,3,3,2,3,1,0;;;;;;
4,3,5,2,3,2,0;;;;;;
2,1,4,4,3,1,0;;;;;;
4,4,5,6,2,2,0;;;;;;
1,4,2,2,3,3,0;;;;;;
4,2,3,2,3,1,0;;;;;;
1,3,4,6,1,2,1;;;;;;
2,1,2,4,1,3,2;;;;;;
2,3,5,4,1,3,1;;;;;;
1,1,4,6,1,3,2;;;;;;
3,2,3,2,1,3,0;;;;;;
4,3,2,2,1,1,0;;;;;;
3,4,4,4,3,3,0;;;;;;
1,2,2,4,2,2,1;;;;;;
1,1,3,2,2,3,0;;;;;;
3,2,4,2,1,2,0;;;;;;
3,1,3,4,2,2,0;;;;;;
3,1,3,4,1,2,0;;;;;;
1,1,4,2,3,1,0;;;;;;
2,4,5,4,2,1,0;;;;;;
2,3,2,6,2,1,0;;;;;;
1,3,2,6,3,1,0;;;;;;
4,3,3,6,3,3,0;;;;;;
3,2,5,4,1,3,1;;;;;;
3,1,3,4,2,3,1;;;;;;
4,1,4,6,3,2,1;;;;;;
1,1,5,6,2,3,3;;;;;;
1,4,2,2,2,1,0;;;;;;
4,3,3,6,3,1,0;;;;;;
3,1,5,2,2,2,0;;;;;;
2,3,4,4,2,3,1;;;;;;
4,1,2,6,3,3,1;;;;;;
1,1,3,2,1,2,0;;;;;;
2,2,2,4,1,2,1;;;;;;
2,1,5,2,3,3,0;;;;;;
1,2,4,6,2,3,3;;;;;;
4,2,5,4,1,3,1;;;;;;
3,3,3,6,2,1,0;;;;;;
3,1,4,2,3,2,0;;;;;;
4,2,2,6,1,3,0;;;;;;
3,1,2,2,3,1,0;;;;;;
3,1,5,4,1,3,1;;;;;;
2,3,5,6,2,1,0;;;;;;
4,1,3,2,2,2,0;;;;;;
2,1,3,4,2,1,0;;;;;;
2,2,4,6,2,1,0;;;;;;
3,3,4,2,2,2,0;;;;;;
3,1,3,2,1,2,0;;;;;;
1,2,5,6,3,1,0;;;;;;
2,3,3,2,2,3,0;;;;;;
3,2,3,2,2,3,0;;;;;;
1,1,2,4,1,3,2;;;;;;
3,3,2,6,1,2,0;;;;;;
1,2,5,6,2,1,0;;;;;;
3,2,2,2,3,1,0;;;;;;
3,1,3,2,1,3,0;;;;;;
3,3,3,6,2,2,1;;;;;;
4,4,5,6,1,2,0;;;;;;
3,2,5,6,1,1,0;;;;;;
4,2,3,2,2,2,0;;;;;;
3,4,4,4,2,2,0;;;;;;
2,3,5,2,3,2,0;;;;;;
4,2,5,4,3,2,1;;;;;;
1,4,2,6,3,3,1;;;;;;
4,2,2,4,3,2,1;;;;;;
2,2,4,6,3,3,3;;;;;;
3,1,4,4,2,3,1;;;;;;
2,4,3,4,2,1,0;;;;;;
2,2,3,2,3,1,0;;;;;;
3,2,4,4,1,2,0;;;;;;
3,3,5,4,2,3,1;;;;;;
4,3,4,6,2,1,0;;;;;;
1,2,4,6,2,1,0;;;;;;
3,3,3,4,3,1,0;;;;;;
1,4,3,2,1,3,0;;;;;;
4,3,2,4,1,3,0;;;;;;
1,4,4,4,1,3,1;;;;;;
4,3,5,4,1,2,0;;;;;;
4,1,5,4,3,3,1;;;;;;
3,4,5,4,1,2,0;;;;;;
2,4,2,2,3,2,0;;;;;;
3,4,5,6,1,2,0;;;;;;
3,4,5,2,3,1,0;;;;;;
2,2,4,2,2,2,0;;;;;;
4,2,4,6,3,1,0;;;;;;
2,4,4,6,3,2,1;;;;;;
2,2,2,6,2,1,0;;;;;;
1,2,3,2,1,3,0;;;;;;
1,3,5,4,3,2,1;;;;;;
2,3,2,4,3,1,0;;;;;;
3,1,2,2,1,2,0;;;;;;
4,2,4,6,1,3,1;;;;;;
4,2,3,6,1,2,0;;;;;;
1,3,2,6,1,2,0;;;;;;
2,3,5,6,3,2,1;;;;;;
4,1,2,2,2,3,0;;;;;;
1,4,2,2,1,3,0;;;;;;
2,2,4,4,1,3,1;;;;;;
3,1,2,6,1,2,0;;;;;;
4,4,2,2,2,3,0;;;;;;
2,3,5,4,2,2,1;;;;;;
3,3,3,2,2,2,0;;;;;;
3,4,4,6,3,3,0;;;;;;
3,3,4,6,3,3,1;;;;;;
3,4,5,2,3,3,0;;;;;;
4,1,3,2,3,1,0;;;;;;
1,4,5,6,3,3,1;;;;;;
4,3,3,2,2,1,0;;;;;;
1,3,3,2,3,3,0;;;;;;
4,2,3,4,2,1,0;;;;;;
3,4,3,4,2,3,0;;;;;;
4,3,2,2,1,2,0;;;;;;
4,2,4,6,2,2,1;;;;;;
3,3,3,6,3,2,1;;;;;;
1,2,2,4,3,1,0;;;;;;
2,3,5,2,1,3,0;;;;;;
4,4,4,6,3,2,0;;;;;;
2,4,2,4,1,2,0;;;;;;
2,2,5,2,2,1,0;;;;;;
1,2,3,2,1,2,0;;;;;;
1,3,2,4,2,3,1;;;;;;
3,1,4,4,2,1,0;;;;;;
2,3,4,6,3,2,1;;;;;;
2,4,4,2,2,1,0;;;;;;
1,2,3,2,1,1,0;;;;;;
1,1,3,2,2,2,0;;;;;;
1,2,5,4,3,2,2;;;;;;
3,1,2,6,3,3,1;;;;;;
1,1,2,2,1,3,0;;;;;;
1,2,5,6,3,3,3;;;;;;
1,3,3,6,3,2,1;;;;;;
1,2,3,6,1,3,2;;;;;;
1,3,4,6,3,2,1;;;;;;
4,3,3,4,2,1,0;;;;;;
2,2,2,6,2,2,1;;;;;;
1,1,3,4,2,3,2;;;;;;
4,4,4,2,2,1,0;;;;;;
1,4,5,6,3,1,0;;;;;;
3,2,2,2,3,3,0;;;;;;
4,3,2,4,3,3,0;;;;;;
1,2,2,6,3,2,2;;;;;;
2,1,4,4,2,2,2;;;;;;
1,3,3,6,1,3,1;;;;;;
3,2,3,4,3,1,0;;;;;;
1,4,2,6,1,2,0;;;;;;
2,1,3,6,1,3,2;;;;;;
3,1,4,6,1,3,1;;;;;;
2,3,3,4,1,1,0;;;;;;
1,4,4,4,3,3,1;;;;;;
3,2,3,2,2,1,0;;;;;;
3,1,2,2,2,2,0;;;;;;
3,4,2,6,2,1,0;;;;;;
4,2,3,6,2,3,1;;;;;;
1,3,3,2,1,2,0;;;;;;
4,2,5,4,3,3,1;;;;;;
2,3,5,6,1,1,0;;;;;;
4,1,4,2,3,1,0;;;;;;
1,4,3,2,3,2,0;;;;;;
4,4,2,2,3,3,0;;;;;;
3,3,5,4,3,1,0;;;;;;
2,4,3,4,1,3,1;;;;;;
2,3,5,2,2,3,0;;;;;;
2,2,5,6,2,3,3;;;;;;
4,1,2,4,2,2,0;;;;;;
3,3,4,4,3,2,1;;;;;;
2,1,2,6,3,3,3;;;;;;
4,3,4,6,3,1,0;;;;;;
2,1,2,6,2,1,0;;;;;;
4,4,5,4,1,2,0;;;;;;
3,3,4,4,2,2,1;;;;;;
3,2,2,4,1,1,0;;;;;;
4,1,4,2,1,2,0;;;;;;
3,2,2,2,1,3,0;;;;;;
1,2,5,4,2,1,0;;;;;;
1,1,4,4,2,1,0;;;;;;
4,1,4,6,2,1,0;;;;;;
4,1,2,2,1,2,0;;;;;;
2,2,3,6,1,3,1;;;;;;
4,3,5,2,1,2,0;;;;;;
4,2,4,6,2,3,1;;;;;;
1,2,4,2,1,2,0;;;;;;
3,4,3,4,3,1,0;;;;;;
4,3,3,6,1,3,0;;;;;;
2,2,5,2,1,3,0;;;;;;
3,2,2,6,2,3,1;;;;;;
3,2,5,2,1,2,0;;;;;;
3,4,4,6,2,2,0;;;;;;
3,2,5,6,2,1,0;;;;;;
3,1,3,2,2,1,0;;;;;;
3,3,4,4,2,3,1;;;;;;
1,3,3,2,1,1,0;;;;;;
2,2,5,4,1,3,1;;;;;;
3,4,4,6,3,1,0;;;;;;
1,1,5,6,1,3,2;;;;;;
3,4,4,6,1,3,0;;;;;;
2,1,3,2,1,3,0;;;;;;
1,4,2,4,1,2,0;;;;;;
3,4,4,4,3,2,0;;;;;;
4,2,3,2,1,1,0;;;;;;
3,3,2,6,3,1,0;;;;;;
4,1,4,6,2,3,1;;;;;;
3,3,5,2,2,1,0;;;;;;
4,4,3,2,3,1,0;;;;;;
1,2,3,6,2,2,2;;;;;;
2,1,3,2,1,2,0;;;;;;
2,2,5,4,3,1,0;;;;;;
4,3,4,2,1,1,0;;;;;;
1,2,5,6,1,1,0;;;;;;
